rank,url,i,y
1,http://www.ba.itb.cnr.it/srs7/SRScopyright.html,60596,0.0177718833003672
2,http://www.ba.itb.cnr.it/srs7/SRStermsofuse.html,60598,0.0177718833003672
3,http://biblioteca.iam.na.cnr.it/FMRes/THelp.htm,285153,0.00750487218295477
4,http://biblioteca.na.iac.cnr.it/FMRes/THelp.htm,318526,0.00680340175766852
5,http://www.istc.cnr.it/cessba/user.php,247029,0.00561858542280491
6,http://www.istc.cnr.it/oldcessba/index.html,236402,0.00372260522922768
7,http://www.ba.itb.cnr.it/srs7bin/cgi-bin/wgetz?-page+databanks,60600,0.00266663173031506
8,http://www.ba.itb.cnr.it/srs7bin/cgi-bin/wgetz?-page+results,60602,0.00266663173031506
9,http://www.ba.itb.cnr.it/srs7bin/cgi-bin/wgetz?-page+sessions,60603,0.00266663173031506
10,http://www.ba.itb.cnr.it/srs7bin/cgi-bin/wgetz?-page+top,60604,0.00266663173031506
11,http://www.ba.itb.cnr.it/srs7bin/cgi-bin/wgetz?-page+viewMan1+-libList+reset,60605,0.00266663173031506
12,http://www.ba.itb.cnr.it/srs7bin/cgi-bin/wgetz?-page+query,60601,0.00257596625141596
13,http://www.cnr.it/neutronielucedisincrotrone/,272817,0.00247923241766551
14,http://www.ba.itb.cnr.it/srs7bin/cgi-bin/wgetz?-page+applSelect,60599,0.00243651630165475
15,http://www.istc.cnr.it/cessba/modules.php?op=modload&name=Members_List&file=index,247012,0.00235704659108587
16,http://www.istc.cnr.it/cessba/index.php,247013,0.00235704659108587
17,http://www.istc.cnr.it/cessba/modules.php?op=modload&name=Downloads&file=index,247014,0.00235704659108587
18,http://www.istc.cnr.it/cessba/modules.php?op=modload&name=FAQ&file=index,247015,0.00235704659108587
19,http://www.istc.cnr.it/cessba/modules.php?op=modload&name=News&file=index,247025,0.00235704659108587
20,http://www.istc.cnr.it/cessba/modules.php?op=modload&name=Search&file=index,247026,0.00235704659108587
